County,Habitat,Limits,Length_surface,Association,Contract
ALBA,Râul Mureș,Stâna de Mureș- Băcăinți,115 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Târnava Mare,Valea Lungă-conf. râul Mureș,44 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Ampoi,Zlatna - conf. râul Mureș,35 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Cugir,"Cugir 15 Km, de la loc. Cugir - conf. râul Mureș",15 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Sebeș,acumulare Petrești- conf. râul Mureș,17 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Târnava Mică,Cetatea de Baltă – Blaj,23 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Secaș,Roșia de Secaș – Obreja,10 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Mihoești,"Mihoești, comuna Câmpeni",98 Ha,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Arieș,Baia de Arieș – Vidolm,30 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Poșaga,Conf. pârâul Săgagea – conf. Râul Arieșul Mare,10 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Sălciuța,Fundata – conf. Râul Arieșul Mare,10 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Ocoliș,Pod Lunca Largă – conf. Râul Arieșul,8 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Mogoș  - Cotu,Izvoare – limită cu O.S. Aiud,10 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Valea Bistrei,Izvoare – vărsare în râul Arieș,21 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Valea Bistricioarei,Izvoare – vărsare în râul Arieș,18 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Valea Caselor,Izvoare – vărsare în râul Arieș,13 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Valea Sartășului,Izvoare – vărsare în râul Arieș,9 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Valea Morilor,Huda lui Papară - Izvoare – vărsare în râul Arieș,3 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Vălișoara,Izvoare până la Cheile Aiudului,31 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Pian,Izvoare – Pod CFR,34 Km,"AJVPS ALBA 
cu sediul în 
localitatea Alba Iulia, 
str. Calea Moților, nr. 
6, județ Alba",44/26.10.2017
ALBA,Râul Geoagiu Superior,izvoare până la Cheile Râmeț,9 Km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",68/26.07.2018
ALBA,Râul Geoagiu Inferior,Cheile Râmeț – conf. râul Mureș,28 Km,"CS HUNEDOARA 
cu sediul în  
localitatea Călan, sat 
Strei, Ferma Piscicolă 
F.N., județ Hunedoara",60/26.07.2018
ARAD,Canalele din zona Turnu,Județ Arad,,"AVPS DIANA TURNU 
ARAD 
cu sediul în  
localitatea Arad, str. 
Calea Aurel Vlaicu, 
nr. 150, bl. Z 27 B, 
parter, județ Arad",42/14.11.2017
ARAD,Balta Ghilin I și II,Județ Arad,,"AJVPS ARAD 
cu sediul în  
localitatea Arad, str.",29/ 09.10. 2017
ARAD,Balta Cicir,Județ Arad,6 Ha,"AJVPS ARAD 
cu sediul în  
localitatea Arad, str.",74/26.07.2018
ARAD,"Canalele hidroameliorative 
Socodor",Județ Arad,,"AJVPS ARAD 
cu sediul în  
localitatea Arad, str.",74/26.07.2018
ARAD,Balta Căpâlnaș,Localitatea  Căpâlnaș,2 Ha,"Mărășești, nr. 6, județ 
Arad",95/10.01.2024
ARAD,Canalul Morilor,"Canal artificial, din Râul Crișul Alb",92 Km,"Mărășești, nr. 6, județ 
Arad",95/10.01.2024
ARAD,Lac Copilul,Localitatea Ineu,5Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Lac Mișca,Localitatea Mișca,12Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Lac Chișineu-Criș,Localitatea Chișineu-Criș,5Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Lac Pâncota,Localitatea Pâncota,3Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Lac Zădăreni,Localitatea Felnac,12Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Lac Mortărel,Localitatea Tudor Vladimirescu,18Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Lac  Hortop,Localitatea Tudor Vladimirescu,3Ha,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Râul Mureș,"Localitatea Pietriș-Frontieră cu Ungaria 
 cu afluenții",397km,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Râul Crișul Alb,"Localitatea Ionești- Frontieră cu Ungaria 
 cu afluenții",566km,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Râul Crișul Negru,"Localitatea Vânători - Frontieră cu Ungaria 
cu afluenții",214km,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Râul Aranca,Izvoare-Frontieră cu Ungaria,30km,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARAD,Râul Ierul,Izvoare-Frontieră cu Ungaria,43km,"Mărășești, nr. 6, județ 
Arad","1/22.02.1987 
ACT ADIȚIONAL 
NR. 5/16.12.2020"
ARGEȘ,Râul Bratia inferior,"Aval pod Berevoești  – conf. cu râul Târgului 
(comuna Titești)",34 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Argeș,"Comuna Oiești – limita jud. (comuna Pătroaia, 
jud. Dâmbovița)",87 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Vâlsan inferior,"Aval podul din comuna Mușetești – conf. râul 
Argeș","19,2 Km","AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Argeșel inferior,"Comuna Valea Mare - Pravăț  – conf. râul 
Târgului",80 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Doamnei inferior,Pod  Domnești – conf. râul Argeș,40 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Târgului inferior,Uzina de apă Câmpulung – conf. râul Doamnei,43 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Târgului mijlociu,Aval baraj Râușor – uzina de apă Câmpulung,16 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Curtea de Argeș,Curtea de Argeș,35 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Zigoneni,Băiculești - Zigoneni,65 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Vâlcele,Merișani - Vâlcele,460 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Bascov,Bascov,180 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Pitești,Pitești,120 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Budeasa,Budeasa,384 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Golești,Golești,634 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Lac acumulare Râușor,Județ Argeș,160 Ha,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Dâmbovița mijlocie,Dragoslavele – Malul cu Flori,18 Km,"AJVPS ARGEȘ 
cu sediul în  
localitatea Pitești, 
str. Mihai Viteazu, nr. 
29, județ  Argeș",39/18.10.2017
ARGEȘ,Râul Vâslan mijlociu,baraj Dobroneanu – comuna Brădet,12 Km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",68/26.07.2018
ARGEȘ,Râul Târgului superior,izvoare – baraj Râușor,23 Km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",68/26.07.2018
ARGEȘ,Râul Dâmbovița superioară,baraj Pecineagu – schitul Dragoslavele,40 Km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",68/26.07.2018
ARGEȘ,Lac acumulare Pecineagu,,163 Ha,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",68/26.07.2018
ARGEȘ,Râul Argeșel superior,Izvoare – comuna Valea Mare–Pravăț,11Km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",83/11.04.2019
ARGEȘ,Râul  Doamnei superior,Izvoare - baraj Baciu,55Km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",83/11.04.2019
ARGEȘ,Râul Bughea,Izvoare – conf. râul Târgului,39 km,"APS AQUA CRISIUS 
cu sediul în  
localitatea Oradea, 
str. Mihai Eminescu, 
nr.15, județ Bihor",83/11.04.2019
BACĂU,Acumulare Galbeni,Nicolae Bălcescu-Galbeni,250 ha,"A. Centrul Regional 
de Ecologie BACĂU 
cu sediul în  
localitatea Bacău, str. 
Livezilor, nr. 4F, 
județ Bacău",20/19.09.2017
BACĂU,Acumulare Bacău II,Bacău,202 ha,"A. Centrul Regional 
de Ecologie BACĂU 
cu sediul în  
localitatea Bacău, str. 
Livezilor, nr. 4F, 
județ Bacău",20/19.09.2017
BACĂU,Râul  Siret,"intrare județ Bacău - ieșire din județ Bacău 
fără lacurile de acumulare",119 km,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BACĂU,Râul Bistrița,limita jud. Bacău - conf. Râul  Siret,39 km,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BACĂU,Râul Tazlău,limita județ - conf. Râul  Trotuș,63 km,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
BACĂU,Râul Tazlăul Sărat,izvoare - conf. cu Râul Tazlău,47 km,"AJVPS BACĂU 
cu sediul în  
localitatea Bacău str. 
Mihai Viteazu, nr. 4, 
județ Bacău",33/11.10.2017
